timestamp,event_type,key,button,scroll_dx,scroll_dy,mouse_x,mouse_y,event_state
1748625285.0177224,mouse_move,,,,,1257,1068,moved
1748625285.0243335,mouse_move,,,,,1260,1068,moved
1748625285.031605,mouse_move,,,,,1262,1067,moved
1748625285.037903,mouse_move,,,,,1263,1067,moved
1748625285.0465689,mouse_move,,,,,1264,1066,moved
1748625285.0530386,mouse_move,,,,,1265,1066,moved
1748625285.0600898,mouse_move,,,,,1266,1066,moved
1748625285.0801587,mouse_move,,,,,1266,1065,moved
1748625285.0949428,mouse_move,,,,,1267,1065,moved
1748625285.1155035,mouse_move,,,,,1267,1065,moved
1748625285.129256,mouse_move,,,,,1268,1065,moved
1748625285.1638608,mouse_move,,,,,1268,1065,moved
1748625285.1994948,mouse_move,,,,,1269,1065,moved
1748625285.2142317,mouse_move,,,,,1270,1065,moved
1748625285.2282484,mouse_move,,,,,1270,1065,moved
1748625285.2495222,mouse_move,,,,,1270,1064,moved
1748625285.2704277,mouse_move,,,,,1270,1064,moved
1748625285.2762377,mouse_move,,,,,1270,1063,moved
1748625285.2838767,mouse_move,,,,,1270,1063,moved
1748625285.290882,mouse_move,,,,,1269,1063,moved
1748625285.2981622,mouse_move,,,,,1269,1063,moved
1748625285.3047945,mouse_move,,,,,1266,1062,moved
1748625285.312138,mouse_move,,,,,1260,1060,moved
1748625285.319209,mouse_move,,,,,1250,1058,moved
1748625285.3259633,mouse_move,,,,,1223,1055,moved
1748625285.3326857,mouse_move,,,,,1184,1054,moved
1748625285.3391783,mouse_move,,,,,1149,1052,moved
1748625285.3468344,mouse_move,,,,,1115,1050,moved
1748625285.3533878,mouse_move,,,,,1088,1049,moved
1748625285.3608603,mouse_move,,,,,1071,1049,moved
1748625285.3674114,mouse_move,,,,,1057,1049,moved
1748625285.375007,mouse_move,,,,,1045,1049,moved
1748625285.3811014,mouse_move,,,,,1033,1049,moved
1748625285.3891659,mouse_move,,,,,1021,1048,moved
1748625285.3946846,mouse_move,,,,,1013,1048,moved
1748625285.4021957,mouse_move,,,,,1007,1048,moved
1748625285.4085677,mouse_move,,,,,1003,1048,moved
1748625285.417082,mouse_move,,,,,1001,1048,moved
1748625285.4240935,mouse_move,,,,,1000,1048,moved
1748625285.4311821,mouse_move,,,,,1000,1048,moved
1748625285.438116,mouse_move,,,,,999,1048,moved
1748625285.44453,mouse_move,,,,,999,1048,moved
1748625285.5573955,mouse_move,,,,,999,1048,moved
1748625287.653717,mouse_move,,,,,995,1048,moved
1748625287.661289,mouse_move,,,,,989,1048,moved
1748625287.6677935,mouse_move,,,,,982,1048,moved
1748625287.6751628,mouse_move,,,,,978,1048,moved
1748625287.6821578,mouse_move,,,,,975,1048,moved
1748625287.6886847,mouse_move,,,,,973,1048,moved
1748625287.6961472,mouse_move,,,,,972,1048,moved
1748625287.7028468,mouse_move,,,,,971,1048,moved
1748625287.7104285,mouse_move,,,,,970,1048,moved
1748625287.72357,mouse_move,,,,,970,1048,moved
1748625287.7451386,mouse_move,,,,,969,1048,moved
1748625287.8225088,mouse_move,,,,,969,1048,moved
1748625287.9263582,mouse_move,,,,,969,1048,moved
1748625287.9622118,mouse_move,,,,,969,1048,moved
1748625288.3751714,mouse_click,,Button.left,,,969,1048,pressed
1748625288.4862237,mouse_click,,Button.left,,,969,1048,released
1748625289.025817,mouse_move,,,,,964,1026,moved
1748625289.032249,mouse_move,,,,,955,994,moved
1748625289.040539,mouse_move,,,,,947,966,moved
1748625289.0473077,mouse_move,,,,,940,944,moved
1748625289.0542324,mouse_move,,,,,932,922,moved
1748625289.0608032,mouse_move,,,,,926,905,moved
1748625289.0669384,mouse_move,,,,,922,891,moved
1748625289.0752463,mouse_move,,,,,917,877,moved
1748625289.0823443,mouse_move,,,,,913,866,moved
1748625289.089077,mouse_move,,,,,911,858,moved
1748625289.0962346,mouse_move,,,,,909,853,moved
1748625289.1029797,mouse_move,,,,,909,850,moved
1748625289.1097105,mouse_move,,,,,907,848,moved
1748625289.1167102,mouse_move,,,,,907,847,moved
1748625289.124245,mouse_move,,,,,907,846,moved
1748625289.144125,mouse_move,,,,,907,846,moved
1748625291.9571786,keyboard,Key.space,,,,907,846,pressed
1748625292.068811,keyboard,Key.space,,,,907,846,released
1748625292.8655322,mouse_move,,,,,889,828,moved
1748625292.8724785,mouse_move,,,,,866,806,moved
1748625292.8788865,mouse_move,,,,,846,791,moved
1748625292.8860576,mouse_move,,,,,834,780,moved
1748625292.8934965,mouse_move,,,,,824,773,moved
1748625292.900567,mouse_move,,,,,815,767,moved
1748625292.907249,mouse_move,,,,,806,762,moved
1748625292.9149435,mouse_move,,,,,799,759,moved
1748625292.9203575,mouse_move,,,,,793,756,moved
1748625292.928717,mouse_move,,,,,786,753,moved
1748625292.9341145,mouse_move,,,,,782,752,moved
1748625292.9429007,mouse_move,,,,,779,750,moved
1748625292.9498217,mouse_move,,,,,776,749,moved
1748625292.9562483,mouse_move,,,,,773,748,moved
1748625292.9638689,mouse_move,,,,,770,748,moved
1748625292.969919,mouse_move,,,,,769,748,moved
1748625292.9781234,mouse_move,,,,,767,748,moved
1748625292.9848807,mouse_move,,,,,766,748,moved
1748625292.991546,mouse_move,,,,,765,748,moved
1748625292.9970903,mouse_move,,,,,764,748,moved
1748625293.0046751,mouse_move,,,,,764,748,moved
1748625293.0114334,mouse_move,,,,,763,748,moved
1748625293.0271347,mouse_move,,,,,763,748,moved
1748625293.0331423,mouse_move,,,,,763,748,moved
1748625293.040246,mouse_move,,,,,762,748,moved
1748625293.0461912,mouse_move,,,,,762,748,moved
1748625293.0550945,mouse_move,,,,,762,748,moved
1748625293.0689023,mouse_move,,,,,762,749,moved
1748625293.0824094,mouse_move,,,,,762,749,moved
1748625293.09573,mouse_move,,,,,762,750,moved
1748625293.1036592,mouse_move,,,,,762,750,moved
1748625293.1094131,mouse_move,,,,,762,751,moved
1748625293.1313965,mouse_move,,,,,762,751,moved
1748625293.1449826,mouse_move,,,,,762,752,moved
1748625293.158578,mouse_move,,,,,762,752,moved
1748625293.1650887,mouse_move,,,,,762,752,moved
1748625293.1793098,mouse_move,,,,,762,752,moved
1748625293.186468,mouse_move,,,,,763,752,moved
1748625293.193595,mouse_move,,,,,764,752,moved
1748625293.2013516,mouse_move,,,,,764,750,moved
1748625293.2074325,mouse_move,,,,,767,748,moved
1748625293.2155533,mouse_move,,,,,768,743,moved
1748625293.222646,mouse_move,,,,,771,738,moved
1748625293.2297351,mouse_move,,,,,773,729,moved
1748625293.235269,mouse_move,,,,,775,720,moved
1748625293.2436767,mouse_move,,,,,775,712,moved
1748625293.2495425,mouse_move,,,,,777,700,moved
1748625293.257631,mouse_move,,,,,777,689,moved
1748625293.2642455,mouse_move,,,,,777,678,moved
1748625293.2698593,mouse_move,,,,,777,668,moved
1748625293.2785063,mouse_move,,,,,776,657,moved
1748625293.2850296,mouse_move,,,,,776,648,moved
1748625293.2920425,mouse_move,,,,,775,641,moved
1748625293.2995398,mouse_move,,,,,775,634,moved
1748625293.30623,mouse_move,,,,,775,629,moved
